id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,everything i wanted,2019-11-13,82,False,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,art pop;pop
7M2hVYbbsSM2nNxsWIkspL,MRD,Midsommar,Løvehjerte,2023-05-12,21,False,0.443,0.976,11,-6.254,0,0.0913,0.00128,0.354,0.239,0.392,75.028,275201,4,hard techno;norwegian techno
3lsA25LMGFSWEht6ysngKx,Ollie Lishman,2 THA 3,POSITION CRITICAL,2023-05-26,34,False,0.641,0.97,2,-4.781,1,0.11,5.02e-05,0.335,0.0951,0.312,143.982,360633,4,hardgroove
3gZs2MpDVNJb0CnPwkU3m9,Odyssey,Going Back To My Roots (Original Radio Version),Going Back To My Roots,1985,44,False,0.693,0.918,11,-6.429,0,0.0632,0.225,0.00106,0.0547,0.765,111.128,259587,4,disco;hammond organ;post-disco
52iLDrSoRtf9lcgFuLVfqE,Sasha Alex Sloan,Older,Older,2018-11-09,70,False,0.681,0.292,11,-9.599,1,0.0483,0.743,0.0,0.0974,0.162,64.002,191002,4,alt z
6J2LdBN97cDWn0MLxYh9HB,Noah Cyrus,July,THE END OF EVERYTHING,2020-05-15,81,False,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,156106,4,alt z;pop
0RC23Ua9z3HUD9ssrX2VGj,Gorillaz,Lake Zurich,The Now Now,2018-06-29,46,False,0.618,0.886,2,-6.099,1,0.033,0.000108,0.881,0.0821,0.779,115.082,253627,4,alternative hip hop;modern rock;rock
1lbXEepatjRVjoG8pZMtdp,Fleetwood Mac,Dreams,Greatest Hits,1988-11-21,65,False,0.823,0.338,0,-15.899,1,0.0413,0.139,0.00129,0.5,0.785,120.473,254453,4,album rock;classic rock;rock;soft rock;yacht rock
4CxFN5zON70B3VOPBYbd6P,Jeremy Zucker,you were good to me,brent,2019-05-03,70,False,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,219147,4,alt z;electropop;pop
3Tc57t9l2O8FwQZtQOvPXK,Billie Eilish,my strange addiction,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,73,False,0.939,0.305,8,-10.952,0,0.354,0.35,0.000169,0.105,0.563,100.029,179889,4,art pop;pop
1fOkmYW3ZFkkjIdOZSf596,Frank Ocean,Pink Matter,channel ORANGE,2012-07-10,79,True,0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,268813,3,lgbtq+ hip hop;neo soul
4FmCUATNIarCQh72JYdvnm,Frank Sinatra,That's Life,That's Life,1966-11,71,False,0.56,0.434,4,-14.151,0,0.0729,0.55,0.0,0.346,0.664,112.803,187040,3,adult standards;easy listening;lounge
1TQXIltqoZ5XXyfCbAeSQQ,Sasha Alex Sloan,Dancing With Your Ghost,Dancing With Your Ghost,2019-06-28,78,False,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,197732,4,alt z
4IhCpufYdnbCIjwWw7tqty,Ciara,"1, 2 Step - DJ HEARTSTRING Remix","1, 2 Step (DJ HEARTSTRING Remix)",2023-07-28,51,False,0.709,0.951,5,-5.84,0,0.0523,0.00153,0.246,0.0536,0.807,145.994,185953,4,dance pop;hip pop;pop;r&b;urban contemporary
5SaapweQAEx7X1R47ItZ75,Suzan & Freek,Goud,Dromen In Kleur,2021-10-29,57,False,0.736,0.486,0,-7.627,0,0.043,0.162,0.0,0.121,0.562,110.026,202943,4,dutch pop
6dBUzqjtbnIa1TwYbyw5CM,TV Girl,Lovers Rock,French Exit,2014-06-05,87,False,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,213920,4,pov: indie
6FZDfxM3a3UCqtzo5pxSLZ,Halsey,Without Me,Manic,2020-01-17,78,True,0.752,0.488,6,-7.05,1,0.0705,0.293,9.2e-06,0.0936,0.533,136.07,201661,4,electropop;etherpop;indie poptimism;pop
1PUz8gu1K3xfes61hXm5ht,DOLKINS,Blackwell Academy,Soundtrack Life is Strange Cover partie 1,2016-02-24,41,False,0.521,0.0802,5,-25.493,1,0.0442,0.986,0.936,0.109,0.161,120.01,113294,4,
7bdYxWPCs46dQ0XLwySOyv,Jeremy Zucker,better off,glisten,2018-05-04,58,False,0.707,0.322,8,-12.46,0,0.0371,0.745,9.26e-05,0.137,0.459,98.892,193947,4,alt z;electropop;pop
6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,80,False,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,art pop;pop
0TzbmxnYrlMV6dEln2l9nb,MIKA,Happy Ending,Life In Cartoon Motion,2007-02-05,62,False,0.564,0.437,1,-8.375,1,0.0285,0.552,0.0,0.217,0.307,96.018,273800,4,electropop
5nU7dvOfzYs9QVVL7YVNPE,Stan Getz,Corcovado (Quiet Nights Of Quiet Stars) - Single Version,Getz/Gilberto - Expanded Edition,1964-03-01,60,False,0.531,0.198,9,-15.811,0,0.039,0.952,0.00267,0.119,0.437,128.043,139987,4,bebop;bossa nova;cool jazz;jazz;jazz saxophone;latin jazz;samba-jazz;vocal jazz
2bfGNzdiRa1jXZRdfssSzR,Gorillaz,Dirty Harry,Demon Days,2005-05-23,72,False,0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296,230426,4,alternative hip hop;modern rock;rock
6r2JV75tE0vNgNCv4HKsBC,Jeremy Zucker,scared,brent,2019-05-03,56,False,0.583,0.075,5,-15.843,1,0.0726,0.933,1.4e-06,0.111,0.347,108.418,207520,4,alt z;electropop;pop
7cf6CqdnZLTXHLu8x34Nt7,Stan Pellegrino,Scuzi Amigo,Scuzi Amigo,2023-05-17,8,False,0.655,0.7,2,-9.661,0,0.0966,0.408,0.00165,0.107,0.487,124.927,284227,4,
5n3ukwahCHdDfgDN4Vs4V0,DJ HEARTSTRING,I've Been Meaning To Tell You,Teenage Dreams,2023-04-07,44,False,0.701,0.977,6,-6.341,1,0.0527,0.00043,0.925,0.106,0.725,148.001,241750,4,
