id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
5e9TFTbltYBg2xThimr0rU,Fleetwood Mac,The Chain - 2004 Remaster,Rumours (Super Deluxe),1977-02-04,81,False,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4,album rock;classic rock;rock;soft rock;yacht rock
3n3F07lHLyRKwqg4q64eYA,Boudewijn de Groot,Avond,Een Nieuwe Herfst,1996-01-01,51,False,0.456,0.37,0,-15.24,1,0.0405,0.617,0.000939,0.136,0.186,99.455,274293,4,dutch rock;nederpop
6HuHyXviAdpmnQu73JHfBz,Benson Boone,Ghost Town,Fireworks & Rollerblades,2024-04-05,78,False,0.391,0.335,0,-10.064,1,0.0763,0.389,0.0,0.102,0.116,174.185,193733,3,singer-songwriter pop
1YR7VB3xx85Iad2n3soyMb,Cristian D,Amsterdam,Amsterdam,2022-01-13,55,True,0.908,0.52,0,-7.688,0,0.0782,0.0457,0.0,0.109,0.81,134.046,173534,4,dutch hip hop;dutch rap pop
3B54sVLJ402zGa6Xm4YGNe,French Montana,Unforgettable,Jungle Rules,2017-07-14,86,True,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4,hip hop;pop rap;rap;southern hip hop;trap
3eHycF4kskcHoDd47DpDZh,Fred again..,Jungle,USB,2024-04-09,58,True,0.665,0.727,1,-8.073,0,0.0391,0.00984,0.394,0.172,0.397,133.922,198806,4,edm;house;stutter house
5GDUiXsNbBBcHQ5B7z0z3G,Kensington,Uncharted,Uncharted,2019-11-08,38,False,0.594,0.527,10,-6.805,1,0.0308,0.14,0.0,0.294,0.226,138.956,241480,4,dutch indie rock;dutch pop;dutch rock
6Jrdb6CFOJEGaHjaa6c4WR,BoyWithUke,IDGAF (with blackbear),IDGAF,2022-03-18,60,True,0.783,0.75,5,-5.762,1,0.078,0.426,0.0,0.241,0.88,97.953,140665,4,sad rap
6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Dizzy up the Girl,1998,89,False,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,3,neo mellow;permanent wave;pop rock;post-grunge
0Uy5VFlvsosR3YZbpsxYFh,Roxy Dekker,Satisfyer,Satisfyer,2023-11-10,67,False,0.795,0.632,8,-8.458,0,0.0607,0.0312,1.69e-05,0.107,0.731,124.058,121452,4,lustrum
1m0UFnuTktOkksvjbF9z0m,Vegedream,Ramenez la coupe à la maison,Marchand de sable,2018-07-20,67,False,0.808,0.661,0,-6.237,0,0.0395,0.0358,0.0,0.138,0.804,107.992,235556,4,french hip hop;pop urbaine;r&b francais
1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,Daylight,2023-04-14,85,False,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954,4,gen z singer-songwriter;singer-songwriter pop
1xs8bOvm3IzEYmcLJVOc34,Ayra Starr,Rush,19 & Dangerous (Deluxe),2022-10-21,71,False,0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,185093,4,afrobeats
22dUzMFttcR3uU17NcOAIv,Calvin Harris,Desire (with Sam Smith),Desire (with Sam Smith),2023-07-28,76,False,0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,179162,4,dance pop;edm;electro house;house;pop;progressive house;uk dance
31nfdEooLEq7dn3UMcIeB5,BENNETT,Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),2023-08-04,82,False,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,178156,4,hypertechno
6rAXHPd18PZ6W8m9EectzH,Nothing But Thieves,Sorry,Broken Machine (Deluxe),2017-09-08,60,False,0.667,0.776,8,-4.535,0,0.0281,0.00238,4.52e-05,0.134,0.519,128.005,214707,4,alternative pop rock;modern alternative rock;modern rock
0jm8p2ErwB4u3uvxc7vxGy,Jinho 9,Blind Op Zoek (Trapagas),Blind Op Zoek (Trapagas),2022-09-30,50,False,0.831,0.476,11,-7.88,0,0.0983,0.136,0.0,0.18,0.529,104.965,142857,4,
21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Hollywood's Bleeding,2019-09-06,85,False,0.695,0.763,0,-3.497,1,0.0396,0.189,0.00242,0.0863,0.551,120.042,215280,4,dfw rap;melodic rap;pop;rap
